route,status,source_file,source_title_or_term,source_metaTitle,source_ogTitle,source_excerpt_or_definition,source_metaDescription,source_ogDescription,h1,h1_hidden,html_title,og_title,twitter_title,meta_description,og_description,twitter_description,robots,og_image,structured_names,build_title,live_title,build_live_diff,core_different,brand_duplicate,priority,proposed_h1,proposed_html_title,proposed_og_title,proposed_twitter_title,proposal
"/about","200","","","","","","","","마케팅 성과를 데이터로 확인하는 일을 합니다.","false","AI, 데이터 분석 컨설턴트 홍승협(준이아빠) 소개 | 준이아빠블로그","AI, 데이터 분석 컨설턴트 홍승협(준이아빠) 소개","AI, 데이터 분석 컨설턴트 홍승협(준이아빠) 소개","홍승협(준이아빠)은 10년차 AI/AX, 데이터 분석 컨설턴트입니다. AEO와 GEO, AI 업무 자동화 컨설팅과 함께 120곳+ 기업과 기관의 GA4, GTM 분석 환경을 구축했고 누적 1,000명 이상을 교육했습니다.","홍승협(준이아빠)은 10년차 AI/AX, 데이터 분석 컨설턴트입니다. AEO와 GEO, AI 업무 자동화 컨설팅과 함께 120곳+ 기업과 기관의 GA4, GTM 분석 환경을 구축했고 누적 1,000명 이상을 교육했습니다.","홍승협(준이아빠)은 10년차 AI/AX, 데이터 분석 컨설턴트입니다. AEO와 GEO, AI 업무 자동화 컨설팅과 함께 120곳+ 기업과 기관의 GA4, GTM 분석 환경을 구축했고 누적 1,000명 이상을 교육했습니다.","","https://www.digitalmarketer.co.kr/og-default.png","Person: 홍승협 / Organization: 준이아빠블로그","AI, 데이터 분석 컨설턴트 홍승협(준이아빠) 소개 | 준이아빠블로그","AI, 데이터 분석 컨설턴트 홍승협(준이아빠) 소개 | 준이아빠블로그","","true","false","P2","AI·데이터 분석 컨설턴트 홍승협(준이아빠) 소개","AI·데이터 분석 컨설턴트 홍승협(준이아빠) 소개 | 준이아빠블로그","AI·데이터 분석 컨설턴트 홍승협(준이아빠) 소개","AI·데이터 분석 컨설턴트 홍승협(준이아빠) 소개","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지."
"/ai-practice","200","","","","","","","","실습으로 배우는 PBL 기반 AI Self Education","false","AI-Practice | PBL 기반 AI Self Education | 준이아빠블로그","AI-Practice | PBL 기반 AI Self Education | 준이아빠블로그","AI-Practice | PBL 기반 AI Self Education | 준이아빠블로그","AI-PRACTICE는 실습으로 AI와 AX(AI 전환)를 배우는 PBL 기반 AI Self Education 웹사이트입니다. 모든 교육은 웹사이트 안의 실습 화면에서 정해진 패턴의 AIPBL(프로젝트 기반 AI 실습)로 진행됩니다.","AI-PRACTICE는 실습으로 AI와 AX(AI 전환)를 배우는 PBL 기반 AI Self Education 웹사이트입니다. 모든 교육은 웹사이트 안의 실습 화면에서 정해진 패턴의 AIPBL(프로젝트 기반 AI 실습)로 진행됩니다.","AI-PRACTICE는 실습으로 AI와 AX(AI 전환)를 배우는 PBL 기반 AI Self Education 웹사이트입니다. 모든 교육은 웹사이트 안의 실습 화면에서 정해진 패턴의 AIPBL(프로젝트 기반 AI 실습)로 진행됩니다.","","https://www.digitalmarketer.co.kr/og-default.png","LearningResource: PBL 기반 AI Self Education","AI-Practice | PBL 기반 AI Self Education | 준이아빠블로그","AI-Practice | PBL 기반 AI Self Education | 준이아빠블로그","","true","false","P2","AI-Practice: 실습으로 배우는 AI 활용","AI-Practice: 실습으로 배우는 AI 활용 | 준이아빠블로그","AI-Practice: 실습으로 배우는 AI 활용","AI-Practice: 실습으로 배우는 AI 활용","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지."
"/class","200","","","","","","","","Class","false","Class | AI 마케팅 개념학습 | 준이아빠블로그","Class | AI 마케팅 개념학습 | 준이아빠블로그","Class | AI 마케팅 개념학습 | 준이아빠블로그","체계적으로 정리된 개념 강의로 기초부터 고급까지 학습하세요. 바이브코딩, 디지털 마케팅, 웹 기술, 클로드 교육의 핵심 개념을 쉽게 이해할 수 있습니다.","체계적으로 정리된 개념 강의로 기초부터 고급까지 학습하세요. 바이브코딩, 디지털 마케팅, 웹 기술, 클로드 교육의 핵심 개념을 쉽게 이해할 수 있습니다.","체계적으로 정리된 개념 강의로 기초부터 고급까지 학습하세요. 바이브코딩, 디지털 마케팅, 웹 기술, 클로드 교육의 핵심 개념을 쉽게 이해할 수 있습니다.","","https://www.digitalmarketer.co.kr/og-default.png","CollectionPage: AI 마케팅 개념학습 / ItemList: 전체 강의 코스","Class | AI 마케팅 개념학습 | 준이아빠블로그","Class | AI 마케팅 개념학습 | 준이아빠블로그","","true","false","P2","AI·마케팅 개념 학습 코스","AI·마케팅 개념 학습 코스 | 준이아빠블로그","AI·마케팅 개념 학습 코스","AI·마케팅 개념 학습 코스","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지."
"/ga4-edu","200","","","","","","","","GA4 실습 튜토리얼 30편","false","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu는 GA4와 같은 모양의 데모 화면을 순서대로 조작하며 사용법과 데이터 해석을 익히는 준이아빠블로그의 실습 코스입니다. 초급, 중급, 심화 각 10편씩 모두 30편으로 이뤄지고, 보고서 읽기부터 탐색 보고서 제작, 수집 설정 변경까지 다룹니다.","GA4 Edu는 GA4와 같은 모양의 데모 화면을 순서대로 조작하며 사용법과 데이터 해석을 익히는 준이아빠블로그의 실습 코스입니다. 초급, 중급, 심화 각 10편씩 모두 30편으로 이뤄지고, 보고서 읽기부터 탐색 보고서 제작, 수집 설정 변경까지 다룹니다.","GA4 Edu는 GA4와 같은 모양의 데모 화면을 순서대로 조작하며 사용법과 데이터 해석을 익히는 준이아빠블로그의 실습 코스입니다. 초급, 중급, 심화 각 10편씩 모두 30편으로 이뤄지고, 보고서 읽기부터 탐색 보고서 제작, 수집 설정 변경까지 다룹니다.","","https://www.digitalmarketer.co.kr/og-default.png","Course: GA4 실습 튜토리얼 30편","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","","false","false","유지","GA4 실습 튜토리얼 30편","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","GA4 Edu | GA4 실습 튜토리얼 30편 | 준이아빠블로그","유지: 사이트명·섹션 접두/접미사만 다른 정상적인 노출 차이."
"/","200","","","","","","","","준이아빠블로그는 디지털 마케팅, AI 도구 활용, 데이터 분석을 다루는 기술 블로그입니다.","true","준이아빠블로그 | AI-Enhanced Tech Wiki","준이아빠블로그 | AI-Enhanced Tech Wiki","준이아빠블로그 | AI-Enhanced Tech Wiki","AI 도구 활용법, 클로드 코드와 바이브코딩 입문, GA4와 디지털 마케팅 실무를 다루는 기술 블로그입니다. 9년 차 데이터 마케터가 직접 검증한 내용을 초보자 눈높이로 정리합니다.","AI 도구 활용법, 클로드 코드와 바이브코딩 입문, GA4와 디지털 마케팅 실무를 다루는 기술 블로그입니다. 9년 차 데이터 마케터가 직접 검증한 내용을 초보자 눈높이로 정리합니다.","AI 도구 활용법, 클로드 코드와 바이브코딩 입문, GA4와 디지털 마케팅 실무를 다루는 기술 블로그입니다. 9년 차 데이터 마케터가 직접 검증한 내용을 초보자 눈높이로 정리합니다.","","https://www.digitalmarketer.co.kr/og-default.png","WebSite: 준이아빠블로그 / Person: 준이아빠","준이아빠블로그 | AI-Enhanced Tech Wiki","준이아빠블로그 | AI-Enhanced Tech Wiki","","true","false","P2","AI 활용·디지털 마케팅·데이터 분석","AI 활용·디지털 마케팅·데이터 분석 | 준이아빠블로그","AI 활용·디지털 마케팅·데이터 분석","AI 활용·디지털 마케팅·데이터 분석","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지. 현재 H1은 sr-only로 일반 화면에는 보이지 않음. 루트 설명의 ‘9년 차’와 소개 페이지 ‘10년차’도 한 데이터로 통일."
"/insights","200","","","","","","","","Insights","false","Insights | 준이아빠블로그","Insights","Insights","AI 코딩 도구 사용법부터 GA4 분석, 광고 운영까지 실무에서 검증한 인사이트 글 모음입니다. 클로드 코드, Codex, 바이브코딩, 데이터 마케팅 주제를 다룹니다.","AI 코딩 도구 사용법부터 GA4 분석, 광고 운영까지 실무에서 검증한 인사이트 글 모음입니다. 클로드 코드, Codex, 바이브코딩, 데이터 마케팅 주제를 다룹니다.","AI 코딩 도구 사용법부터 GA4 분석, 광고 운영까지 실무에서 검증한 인사이트 글 모음입니다. 클로드 코드, Codex, 바이브코딩, 데이터 마케팅 주제를 다룹니다.","","https://www.digitalmarketer.co.kr/og-default.png","CollectionPage: Insights / ItemList: 전체 인사이트 글","Insights | 준이아빠블로그","Insights | 준이아빠블로그","","false","false","P2","AI·마케팅 인사이트","AI·마케팅 인사이트 | 준이아빠블로그","AI·마케팅 인사이트","AI·마케팅 인사이트","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지."
"/privacy","200","","","","","","","","개인정보처리방침","false","개인정보처리방침 | 준이아빠블로그","개인정보처리방침 | 준이아빠블로그","개인정보처리방침 | 준이아빠블로그","개인정보처리방침은 준이아빠블로그가 뉴스레터 구독 과정에서 처리하는 개인정보의 항목, 목적, 보유 기간을 설명하는 문서입니다.","개인정보처리방침은 준이아빠블로그가 뉴스레터 구독 과정에서 처리하는 개인정보의 항목, 목적, 보유 기간을 설명하는 문서입니다.","개인정보처리방침은 준이아빠블로그가 뉴스레터 구독 과정에서 처리하는 개인정보의 항목, 목적, 보유 기간을 설명하는 문서입니다.","noindex, follow","https://www.digitalmarketer.co.kr/og-default.png","","개인정보처리방침 | 준이아빠블로그","개인정보처리방침 | 준이아빠블로그","","false","false","유지","개인정보처리방침","개인정보처리방침 | 준이아빠블로그","개인정보처리방침 | 준이아빠블로그","개인정보처리방침 | 준이아빠블로그","유지: 사이트명·섹션 접두/접미사만 다른 정상적인 노출 차이."
"/search","200","","","","","","","","Search","false","검색 | 준이아빠블로그","검색 | 준이아빠블로그","검색 | 준이아빠블로그","준이아빠블로그의 인사이트, 클래스, 코스를 제목과 설명, 본문에서 한 번에 찾는 사이트 내 검색 페이지입니다.","준이아빠블로그의 인사이트, 클래스, 코스를 제목과 설명, 본문에서 한 번에 찾는 사이트 내 검색 페이지입니다.","준이아빠블로그의 인사이트, 클래스, 코스를 제목과 설명, 본문에서 한 번에 찾는 사이트 내 검색 페이지입니다.","noindex, follow","https://www.digitalmarketer.co.kr/og-default.png","","검색 | 준이아빠블로그","검색 | 준이아빠블로그","","true","false","P3","사이트 내 검색","사이트 내 검색 | 준이아빠블로그","사이트 내 검색","사이트 내 검색","P3: noindex 검색 페이지. 화면 Search와 탭 검색을 ‘사이트 내 검색’으로 통일하는 UX 개선. 검색어별 동적 title은 선택 사항. 원시 HTML H1 두 개는 Suspense 흔적이며 브라우저에서는 한 개로 확인."
"/tags","200","","","","","","","","Tags","false","태그 36개로 탐색하는 콘텐츠 모음 | 준이아빠블로그","태그 36개로 탐색하는 콘텐츠 모음","태그 36개로 탐색하는 콘텐츠 모음","36개 태그로 인사이트와 클래스 801건을 탐색하세요. AI, 마케팅, 데이터 분석 주제를 태그별로 모아 봅니다.","36개 태그로 인사이트와 클래스 801건을 탐색하세요. AI, 마케팅, 데이터 분석 주제를 태그별로 모아 봅니다.","36개 태그로 인사이트와 클래스 801건을 탐색하세요. AI, 마케팅, 데이터 분석 주제를 태그별로 모아 봅니다.","","https://www.digitalmarketer.co.kr/og-default.png","ItemList: 태그 목록","태그 36개로 탐색하는 콘텐츠 모음 | 준이아빠블로그","태그 36개로 탐색하는 콘텐츠 모음 | 준이아빠블로그","description,ogDescription,twitterDescription","true","false","P1 설명","태그로 탐색하는 콘텐츠 모음","태그로 탐색하는 콘텐츠 모음 | 준이아빠블로그","태그로 탐색하는 콘텐츠 모음","태그로 탐색하는 콘텐츠 모음","P2: 실제 화면에 페이지의 주제·기능을 식별할 수 있는 H1을 두고 검색·공유 제목과 맞춤. 기존 영문 라벨이나 슬로건은 보조 문구로 유지. P1: 메타 설명의 콘텐츠 801건(운영)/804건(로컬)은 태그 연결 횟수 합계이며 고유 콘텐츠 수가 아님. ‘36개 태그로 AI·마케팅·데이터 분석 인사이트와 클래스를 탐색하세요’처럼 변경하거나 고유 콘텐츠 수를 계산. 운영/로컬 차이: description, ogDescription, twitterDescription."
"/ai-practice/ai-work-automation","200","","","","","","","","반복 업무, AI에게 넘기는 연습","false","AI-Practice | 반복 업무, AI에게 넘기는 연습: AI-Practice 실습 | 준이아빠블로그","AI-Practice | 반복 업무, AI에게 넘기는 연습: AI-Practice 실습 | 준이아빠블로그","AI-Practice | 반복 업무, AI에게 넘기는 연습: AI-Practice 실습 | 준이아빠블로그","매주 반복하는 정리, 요약, 초안 작업을 AI에게 맡기는 30분 실습입니다.","매주 반복하는 정리, 요약, 초안 작업을 AI에게 맡기는 30분 실습입니다.","매주 반복하는 정리, 요약, 초안 작업을 AI에게 맡기는 30분 실습입니다.","noindex, nofollow","https://www.digitalmarketer.co.kr/og-default.png","","AI-Practice | 반복 업무, AI에게 넘기는 연습: AI-Practice 실습 | 준이아빠블로그","AI-Practice | 반복 업무, AI에게 넘기는 연습: AI-Practice 실습 | 준이아빠블로그","","true","false","P3","반복 업무, AI에게 넘기는 연습","AI-Practice | 반복 업무, AI에게 넘기는 연습 | 준이아빠블로그","반복 업무, AI에게 넘기는 연습","반복 업무, AI에게 넘기는 연습","P3: noindex 레거시 트랙. title에 반복되는 ‘: AI-Practice 실습’ 제거. 섹션 식별자는 한 번만 유지."
