type,slug,total,grade,seo,aeo,geo,R-SEO-01,R-SEO-02,R-SEO-03,R-SEO-04,R-SEO-05,R-SEO-06,R-SEO-07,R-SEO-08,R-AEO-01,R-AEO-02,R-AEO-03,R-AEO-04,R-AEO-05,R-AEO-06,R-AEO-07,R-GEO-01,R-GEO-02,R-GEO-03,R-GEO-04,R-GEO-05,R-GEO-06,R-GEO-07
insights,aeo-geo-practical-setting-case,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,aeo-geo-traffic-fact-check,92.1,A,100,82.5,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,ai-and-human-work-hours-history,90.4,A,100,100,72.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PARTIAL,PASS,PARTIAL,FAIL,PASS,PASS,PASS
insights,ai-coding-tools-comparison-vibe-coding,88.5,A,93.8,77.5,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS
insights,ai-computer-use-long-horizon-limits,95.6,A,100,91.2,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,ai-content-seo-not-penalized,92.5,A,100,75,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-distribution-race-2026-08,91.4,A,90.6,91.2,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,ai-era-three-debts,94.1,A,90.6,100,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS
insights,ai-graph-engineering,93.2,A,90.6,100,90,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
insights,ai-hallucination-cases-and-rates,94.1,A,90.6,91.2,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-model-distillation,96.7,A,90.6,100,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-overviews-ctr-decline,90,A,90.6,77.5,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-productivity-paradox-quality-bar,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-self-review-bias-validator-agent,88.8,A,90.6,100,77.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PARTIAL,PASS,PARTIAL,FAIL,PASS,PASS
insights,ai-tool-fatigue-what-to-follow,83.6,A,90.6,100,62.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,FAIL,PASS,PARTIAL,PARTIAL,PARTIAL,PASS,PASS
insights,ai-usage-methods-guide,87.3,A,90.6,77.5,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS
insights,ai-video-generator-recommendation-2026,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,ai-work-routine-remote-browser-automation,83.6,A,90.6,91.2,70,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,N/A,PARTIAL,PASS,FAIL,PASS,PARTIAL,PASS,PASS
insights,aside-browser-review,95.2,A,93.8,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,aside-browser-windows-install-guide,95.6,A,100,91.2,95,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS
insights,aside-vs-cdp-playwright-browser-agent,95.5,A,100,85,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,aws-bedrock-agentcore-n8n,92.5,A,100,92.5,85,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,PASS
insights,ax-meaning-cases-organizational-bottleneck,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,byok-bring-your-own-key-ai-meaning-guide,94,A,100,80,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,chatgpt-data-agent-semantic-layer,92.9,A,100,85,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,chatgpt-desktop-linux-preview,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,chatgpt-images-2-5,93,A,100,91.2,87.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS
insights,chatgpt-luna-free-unlimited-ads,92.5,A,100,75,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-academy-free-courses,100,A,100,100,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-blog-building-easy-version,89.8,A,100,77.5,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-blog-building-full-process,84.2,A,90.6,70,90,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-codex-usage-limit-race,89.6,A,90.6,85,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS
insights,claude-code-custom-skill-3-patterns,84.5,A,81.3,70,100,PARTIAL,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-eta-statusline,97.4,A,100,91.2,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-install-errors,88,A,100,77.5,85,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PARTIAL,PARTIAL,PASS,PASS,PASS,PASS
insights,claude-code-mac-easy-setup-guide,97.4,A,100,100,92.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS
insights,claude-code-practical-guide,90,A,90.6,77.5,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-pro-plan-fact-check,95,A,90.6,100,95,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS
insights,claude-code-shortcuts-guide,86,A,100,91.2,67.5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,FAIL,PASS,PARTIAL,PARTIAL,PARTIAL,PASS
insights,claude-code-ultraplan-auto-bypass-mode,97.8,A,100,92.5,100,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-code-windows-easy-setup-guide,92.2,A,90.6,85,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-commerce-agents-shopping-merchant-guide,92.2,A,90.6,85,100,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
insights,claude-cowork-5-ai-tasks-for-beginners,91.4,A,90.6,91.2,92.5,PASS,PARTIAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,PASS,N/A,PASS,PASS,PARTIAL,PASS,PASS,PASS,PASS
